"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 24 16:24:08 IST 2020","Tue Nov 24 16:24:24 IST 2020","16736","","Sign Up page","","Sign Up page","Hi","Hi",""
"passed","Tue Nov 24 14:57:19 IST 2020","Tue Nov 24 14:57:22 IST 2020","3160","","Login page","","Login page","Should throw error message while entering invalid pin and clicking on VERIFY PIN button(Pin setted earlier)","Should throw error message while entering invalid pin and clicking on VERIFY PIN button(Pin setted earlier)",""
"passed","Mon Nov 30 11:37:31 IST 2020","Mon Nov 30 11:37:35 IST 2020","4386","","Login Page","","Login Page","Entered Password should get visible","Entered Password should get visible",""
"failed","Wed Nov 25 13:16:52 IST 2020","Wed Nov 25 13:17:02 IST 2020","10037","","Set Pin page","","Set Pin page","Logo should be displayed","Logo should be displayed",""
"passed","Wed Nov 25 12:32:30 IST 2020","Wed Nov 25 12:32:31 IST 2020","183","","Login page","","Login page","Login text should be visible","Login text should be visible",""
"broken","Wed Nov 25 12:58:46 IST 2020","Wed Nov 25 12:58:58 IST 2020","12907","","Login page","","Login page","Should display Set Pin text on the screen","Should display Set Pin text on the screen",""
"passed","Tue Nov 24 15:05:37 IST 2020","Tue Nov 24 15:05:40 IST 2020","3099","","Login page","","Login page","Student Should get Sign Out Login>Login With Pin>Student Dashboard and Login page should get displayed","Student Should get Sign Out Login>Login With Pin>Student Dashboard and Login page should get displayed",""
"passed","Mon Nov 30 16:03:58 IST 2020","Mon Nov 30 16:03:58 IST 2020","249","","Login Page","","Login Page","Logo should be displayed","Logo should be displayed",""
"failed","Tue Nov 24 12:15:53 IST 2020","Tue Nov 24 12:16:06 IST 2020","13321","","Login page","","Login page","Should throw error message for Password field","Should throw error message for Password field",""
"failed","Wed Nov 25 14:52:47 IST 2020","Wed Nov 25 14:53:01 IST 2020","13808","","Sign Up page","","Sign Up page","Password and Confirm Password should get visible","Password and Confirm Password should get visible",""
"passed","Tue Nov 24 15:35:37 IST 2020","Tue Nov 24 15:35:39 IST 2020","1548","","Sign Up page","","Sign Up page","Logo should be displayed","Logo should be displayed",""
"passed","Wed Nov 25 12:54:09 IST 2020","Wed Nov 25 12:54:12 IST 2020","3554","","Login page","","Login page","Should verify the title","Should verify the title",""
"broken","Tue Nov 24 17:54:47 IST 2020","Tue Nov 24 17:54:58 IST 2020","10814","","Set Pin page","","Set Pin page","""after each"" hook for ""Should display Set Pin text on the screen""","""after each"" hook for ""Should display Set Pin text on the screen""",""
"passed","Wed Nov 25 13:17:32 IST 2020","Wed Nov 25 13:17:32 IST 2020","46","","Set Pin page","","Set Pin page","Enter Pin button should be disabled","Enter Pin button should be disabled",""
"passed","Tue Nov 24 13:56:57 IST 2020","Tue Nov 24 13:57:00 IST 2020","2562","","Login page","","Login page","While Login Skip setting Pin","While Login Skip setting Pin",""
"passed","Tue Nov 24 14:56:13 IST 2020","Tue Nov 24 14:56:16 IST 2020","3005","","Login page","","Login page","Student Dashboard should get displayed while entering valid pin and clicking on VERIFY PIN button","Student Dashboard should get displayed while entering valid pin and clicking on VERIFY PIN button",""
"passed","Tue Nov 24 13:54:10 IST 2020","Tue Nov 24 13:54:12 IST 2020","2744","","Login page","","Login page","Should throw error message when entered pin in Pin and Confirm Pin does not matches","Should throw error message when entered pin in Pin and Confirm Pin does not matches",""
"passed","Tue Nov 24 13:51:28 IST 2020","Tue Nov 24 13:51:31 IST 2020","3326","","Login page","","Login page","Login and setting Pin","Login and setting Pin",""
"passed","Wed Nov 25 12:54:50 IST 2020","Wed Nov 25 12:54:53 IST 2020","2539","","Login page","","Login page","Logo should be displayed","Logo should be displayed",""
"passed","Fri Nov 20 17:49:43 IST 2020","Fri Nov 20 17:49:45 IST 2020","1885","","Sign Up page","","Sign Up page","Password should get generated and Set Pin page should get displayed","Password should get generated and Set Pin page should get displayed",""
"passed","Mon Nov 30 11:37:21 IST 2020","Mon Nov 30 11:37:31 IST 2020","9972","","Login Page","","Login Page","Entered Email Id/ Phone Number in the input field should get cleared","Entered Email Id/ Phone Number in the input field should get cleared",""
"passed","Tue Nov 24 15:02:18 IST 2020","Tue Nov 24 15:02:22 IST 2020","3760","","Login page","","Login page","Student Should get Sign Out Login>Set Pin>Login With Pin>Student Dashboard and Login page should get displayed","Student Should get Sign Out Login>Set Pin>Login With Pin>Student Dashboard and Login page should get displayed",""
"failed","Wed Nov 25 14:40:08 IST 2020","Wed Nov 25 14:40:19 IST 2020","10985","","Sign Up page","","Sign Up page","Should display Sign Up text on the screen","Should display Sign Up text on the screen",""
"passed","Tue Nov 24 11:30:20 IST 2020","Tue Nov 24 11:30:26 IST 2020","5537","","Login page","","Login page","Entered Email Id/ Phone Number in the input field should get cleared","Entered Email Id/ Phone Number in the input field should get cleared",""
"failed","Wed Nov 25 13:16:42 IST 2020","Wed Nov 25 13:16:52 IST 2020","10138","","Set Pin page","","Set Pin page","Should verify the title","Should verify the title",""
"broken","Tue Nov 24 14:54:37 IST 2020","Tue Nov 24 14:54:37 IST 2020","591","","Login page","","Login page","""before each"" hook for ""Student Dashboard should get displayed while entering valid pin and clicking on VERIFY PIN button""","""before each"" hook for ""Student Dashboard should get displayed while entering valid pin and clicking on VERIFY PIN button""",""
"passed","Fri Nov 20 17:49:42 IST 2020","Fri Nov 20 17:49:43 IST 2020","673","","Sign Up page","","Sign Up page","Should display Welcome text before the Student Name on the screen","Should display Welcome text before the Student Name on the screen",""
"passed","Tue Nov 24 13:49:52 IST 2020","Tue Nov 24 13:49:54 IST 2020","2207","","Login page","","Login page","Student should get Login and Login With Pin Page should get displayed","Student should get Login and Login With Pin Page should get displayed",""
"passed","Tue Nov 24 17:46:12 IST 2020","Tue Nov 24 17:46:13 IST 2020","927","","Sign Up page","","Sign Up page","Signup button should be disabled","Signup button should be disabled",""
"passed","Tue Nov 24 12:16:42 IST 2020","Tue Nov 24 12:16:44 IST 2020","1939","","Login page","","Login page","Student should get Login and Set Pin/Login With Pin Page should get displayed","Student should get Login and Set Pin/Login With Pin Page should get displayed",""
"broken","Tue Nov 24 17:52:35 IST 2020","Tue Nov 24 17:52:45 IST 2020","10235","","Set Pin page","","Set Pin page","""before each"" hook for ""Logo should be displayed""","""before each"" hook for ""Logo should be displayed""",""
"passed","Mon Nov 30 16:03:56 IST 2020","Mon Nov 30 16:03:57 IST 2020","1158","","Login Page","","Login Page","Should verify the title of the page","Should verify the title of the page",""
"passed","Tue Nov 24 14:07:33 IST 2020","Tue Nov 24 14:07:36 IST 2020","3580","","Login page","","Login page","Should throw error message when entered pin in Pin field does not matches to the seted pin","Should throw error message when entered pin in Pin field does not matches to the seted pin",""
"failed","Wed Nov 25 13:17:02 IST 2020","Wed Nov 25 13:17:32 IST 2020","30088","","Set Pin page","","Set Pin page","Should display Set Pin text on the screen","Should display Set Pin text on the screen",""
"passed","Wed Nov 25 15:06:34 IST 2020","Wed Nov 25 15:06:42 IST 2020","7658","","Login page","","Login page","Entered Password should get visible","Entered Password should get visible",""
"broken","Wed Nov 25 13:05:07 IST 2020","Wed Nov 25 13:05:19 IST 2020","11539","","Set Pin page","","Set Pin page","""before each"" hook for ""Should display Set Pin text on the screen""","""before each"" hook for ""Should display Set Pin text on the screen""",""
"passed","Tue Nov 24 15:09:01 IST 2020","Tue Nov 24 15:09:04 IST 2020","3757","","Login page","","Login page","Should get Login With Pin Login>Set Pin>Login With Pin and should display Student Dashboard","Should get Login With Pin Login>Set Pin>Login With Pin and should display Student Dashboard",""
"failed","Tue Nov 24 17:25:27 IST 2020","Tue Nov 24 17:25:39 IST 2020","11376","","Set Pin page","","Set Pin page","open the url and login","open the url and login",""
"passed","Mon Nov 30 16:03:58 IST 2020","Mon Nov 30 16:04:00 IST 2020","1780","","Login Page","","Login Page","Enter Pin button should be disabled","Enter Pin button should be disabled",""
"broken","Wed Nov 25 12:48:13 IST 2020","Wed Nov 25 12:48:23 IST 2020","10500","","Login page","","Login page","Enter Pin button should be disabled","Enter Pin button should be disabled",""
"passed","Tue Nov 24 13:49:25 IST 2020","Tue Nov 24 13:49:27 IST 2020","2459","","Login page","","Login page","Student should get Login and Set Pin Page should get displayed","Student should get Login and Set Pin Page should get displayed",""
"passed","Fri Nov 20 17:49:40 IST 2020","Fri Nov 20 17:49:41 IST 2020","1008","","Sign Up page","","Sign Up page","Should verify the title","Should verify the title",""
"passed","Mon Nov 30 16:03:57 IST 2020","Mon Nov 30 16:03:58 IST 2020","304","","Login Page","","Login Page","CTI Logo should be displayed in Login page","CTI Logo should be displayed in Login page",""
